iter	Logloss
0	0.6834737757
1	0.6750714648
2	0.6656333169
3	0.6558218317
4	0.6482440404
5	0.6389648521
6	0.6307564201
7	0.6222734556
8	0.6157367832
9	0.6087644808
10	0.6013612852
11	0.5946246975
12	0.588998564
13	0.5826008556
14	0.5765105447
15	0.5710680616
16	0.565462343
17	0.5610679375
18	0.5555647965
19	0.5525694627
20	0.5478007138
21	0.544533782
22	0.5399951306
23	0.5361355792
24	0.5337588132
25	0.5298068288
26	0.5271554465
27	0.5243071671
28	0.5212841244
29	0.5186476236
30	0.5156617636
31	0.5126238812
32	0.5102752853
33	0.5075017908
34	0.5053254012
35	0.5031933208
36	0.5007667122
37	0.498320066
38	0.4963960752
39	0.4943229759
40	0.492332207
41	0.4905491504
42	0.4882021474
43	0.4863059075
44	0.4845152216
45	0.4828662244
46	0.481066316
47	0.4796756283
48	0.4775705862
49	0.4768235343
50	0.4753515223
51	0.4739576906
52	0.4721150241
53	0.4706501384
54	0.4687203627
55	0.4667404929
56	0.4651432247
57	0.4637674185
58	0.4624244774
59	0.4609937563
60	0.4600997338
61	0.4587549063
62	0.4575030568
63	0.4563106495
64	0.4549859015
65	0.4539196308
66	0.4528287112
67	0.451661875
68	0.45044004
69	0.449410449
70	0.448648348
71	0.4478617238
72	0.4468416486
73	0.4460868416
74	0.4450328114
75	0.4442453489
76	0.4428466965
77	0.4421847417
78	0.4414496789
79	0.4404084761
80	0.4397827819
81	0.4386923235
82	0.4380110856
83	0.4370128087
84	0.4363155994
85	0.4354904929
86	0.4348028833
87	0.4341433598
88	0.4333619757
89	0.4328380627
90	0.4319694016
91	0.4311986651
92	0.4307763655
93	0.4300750062
94	0.4292976463
95	0.428500165
96	0.4280115484
97	0.42750608
98	0.4269438524
99	0.4265129592
100	0.4259905134
101	0.4253581959
102	0.4246966603
103	0.4238405332
104	0.4230233496
105	0.4223068573
106	0.4218229357
107	0.4214096908
108	0.420972887
109	0.4202568976
110	0.4199133234
111	0.4191606543
112	0.4184475574
113	0.4180851192
114	0.4175201668
115	0.4170932141
116	0.4167225597
117	0.41636926
118	0.4156991728
119	0.4152864729
120	0.4146166791
121	0.4141972301
122	0.4137978187
123	0.413275834
124	0.4128019312
125	0.4122335413
126	0.411612626
127	0.4112915207
128	0.4109046852
129	0.4106642335
130	0.4102228605
131	0.4097436758
132	0.4092616825
133	0.4089921385
134	0.4086973589
135	0.4079991435
136	0.4076041337
137	0.4072666378
138	0.4068462665
139	0.4062551142
140	0.4059074737
141	0.4055057568
142	0.4053762247
143	0.4048632108
144	0.4045707786
145	0.4042959528
146	0.4039236215
147	0.4035727532
148	0.4033195579
149	0.4030788547
150	0.4025471446
151	0.4021925455
152	0.4017331469
153	0.4016000936
154	0.4012299422
155	0.4010031145
156	0.4007689507
157	0.4001358787
158	0.3998602563
159	0.399501549
160	0.3993339958
161	0.3989814926
162	0.398368542
163	0.3981563023
164	0.39789007
165	0.3974469782
166	0.3971754221
167	0.3970039284
168	0.3968264402
169	0.396600325
170	0.3963182051
171	0.396046104
172	0.3958190247
173	0.3953389178
174	0.3950718052
175	0.3947851998
176	0.3943403894
177	0.3939274379
178	0.3936609541
179	0.393438486
180	0.3929483602
181	0.3925473559
182	0.3923374218
183	0.3920579847
184	0.3918283483
185	0.3912211827
186	0.3909904983
187	0.3906491458
188	0.3903932676
189	0.3900042943
190	0.3895858094
191	0.3894414378
192	0.3891891228
193	0.3889347538
194	0.3886715396
195	0.3883399963
196	0.3881884145
197	0.3880464323
198	0.3878634107
199	0.3874617776
200	0.3872331892
201	0.3870495807
202	0.3868811471
203	0.3867063837
204	0.3864219582
205	0.3861854469
206	0.3859685961
207	0.3857723697
208	0.3854951963
209	0.3852695842
210	0.3850473257
