iter	Passed	Remaining
0	3	3315
1	6	3065
2	9	3095
3	13	3290
4	16	3347
5	20	3416
6	24	3418
7	27	3418
8	32	3539
9	36	3606
10	40	3643
11	45	3716
12	49	3729
13	54	3807
14	58	3817
15	61	3793
16	65	3781
17	69	3775
18	72	3766
19	76	3744
20	80	3734
21	83	3723
22	87	3702
23	91	3724
24	95	3717
25	99	3728
26	103	3744
27	107	3740
28	111	3719
29	114	3700
30	118	3709
31	122	3704
32	126	3693
33	130	3693
34	133	3667
35	136	3667
36	140	3651
37	144	3647
38	147	3632
39	151	3634
40	155	3626
41	158	3611
42	161	3601
43	164	3583
44	170	3609
45	173	3603
46	177	3597
47	180	3588
48	184	3578
49	187	3566
50	191	3554
51	195	3557
52	198	3550
53	202	3550
54	208	3577
55	211	3572
56	215	3571
57	219	3561
58	222	3556
59	226	3543
60	229	3536
61	233	3529
62	236	3518
63	240	3511
64	243	3499
65	247	3496
66	250	3482
67	253	3478
68	257	3468
69	260	3462
70	263	3446
71	266	3439
72	270	3429
73	273	3427
74	276	3415
75	280	3414
76	283	3403
77	288	3409
78	291	3400
79	295	3397
80	299	3394
81	302	3384
82	305	3378
83	308	3367
84	312	3359
85	315	3354
86	319	3352
87	322	3342
88	326	3345
89	329	3335
90	333	3336
91	337	3326
92	340	3322
93	343	3313
94	347	3312
95	351	3306
96	354	3301
97	358	3295
98	369	3359
99	373	3357
100	376	3347
101	379	3342
102	382	3333
103	386	3328
104	389	3319
105	393	3317
106	396	3310
107	400	3305
108	403	3296
109	407	3296
110	410	3289
111	414	3284
112	417	3277
113	420	3271
114	424	3264
115	427	3256
116	430	3251
117	433	3243
118	437	3236
119	440	3231
120	444	3226
121	447	3218
122	450	3214
123	454	3208
124	457	3202
125	460	3196
126	464	3192
127	467	3185
128	471	3183
129	474	3175
130	478	3172
131	481	3165
132	486	3172
133	490	3167
134	493	3162
135	497	3157
136	500	3149
137	503	3143
138	506	3138
139	510	3134
140	513	3128
141	516	3122
142	519	3115
143	524	3115
144	527	3109
145	531	3106
146	534	3100
147	537	3096
148	540	3089
149	544	3085
150	547	3078
151	550	3073
152	553	3066
153	557	3063
154	560	3056
155	564	3054
156	567	3047
157	571	3046
158	574	3040
159	578	3036
160	581	3030
161	584	3025
162	589	3027
163	593	3023
164	596	3020
165	600	3014
166	605	3018
167	608	3012
168	612	3009
169	615	3003
170	618	2998
171	622	2994
172	625	2988
173	628	2984
174	631	2978
175	635	2975
176	638	2969
177	642	2966
178	645	2960
179	649	2956
180	652	2951
181	656	2949
182	659	2943
183	662	2938
184	665	2933
185	669	2930
186	672	2924
187	676	2921
188	679	2915
189	683	2913
190	686	2908
191	690	2907
192	694	2902
193	697	2896
194	700	2891
195	703	2885
196	706	2881
197	710	2876
198	713	2872
199	717	2869
200	721	2867
201	724	2862
202	728	2860
203	731	2854
204	735	2851
205	738	2845
206	742	2843
207	745	2837
208	748	2834
209	752	2829
210	755	2825
211	758	2820
212	762	2817
213	765	2812
214	769	2810
215	773	2806
216	776	2801
217	779	2797
218	782	2792
219	786	2789
220	790	2785
221	794	2782
222	797	2777
223	802	2779
224	806	2776
225	809	2772
226	813	2769
227	816	2764
228	820	2761
229	823	2755
230	826	2753
231	830	2747
232	833	2744
233	836	2739
234	841	2739
235	844	2733
236	848	2730
237	851	2726
238	855	2722
239	858	2718
240	861	2713
241	864	2709
242	868	2704
243	871	2700
244	874	2696
245	878	2692
246	881	2687
247	885	2684
248	888	2679
249	892	2676
250	895	2672
251	899	2669
252	902	2664
253	906	2661
254	909	2656
255	912	2652
256	915	2647
257	920	2647
258	923	2643
259	927	2639
260	930	2635
261	933	2630
262	937	2627
263	941	2623
264	944	2620
265	948	2616
266	952	2614
267	955	2610
268	960	2610
269	964	2607
270	968	2604
271	972	2602
272	975	2597
273	979	2594
274	982	2590
275	987	2589
276	990	2586
277	994	2581
278	997	2578
279	1002	2577
280	1006	2574
281	1009	2570
282	1012	2566
283	1016	2561
284	1019	2557
285	1022	2553
286	1026	2549
287	1029	2545
288	1032	2540
289	1036	2536
290	1039	2532
291	1042	2528
292	1046	2524
293	1049	2520
294	1052	2516
295	1056	2512
296	1059	2508
297	1063	2504
298	1066	2500
299	1070	2496
300	1073	2492
301	1077	2489
302	1080	2484
303	1083	2481
304	1087	2477
305	1090	2473
306	1093	2469
307	1097	2466
308	1100	2461
309	1104	2458
310	1108	2455
311	1111	2451
312	1114	2447
313	1118	2444
314	1122	2441
315	1125	2437
316	1129	2433
317	1132	2429
318	1136	2426
319	1139	2421
320	1143	2418
321	1146	2413
322	1150	2410
323	1153	2405
324	1157	2403
325	1160	2399
326	1164	2395
327	1167	2392
328	1170	2388
329	1174	2384
330	1177	2379
331	1181	2376
332	1184	2373
333	1188	2370
334	1191	2365
335	1196	2363
336	1199	2360
337	1203	2356
338	1206	2353
339	1210	2349
340	1213	2345
341	1216	2341
342	1220	2337
343	1223	2333
344	1227	2329
345	1230	2325
346	1233	2321
347	1237	2318
348	1241	2314
349	1244	2310
350	1247	2307
351	1251	2303
352	1254	2299
353	1257	2295
354	1261	2292
355	1264	2287
356	1268	2284
357	1271	2279
358	1275	2278
359	1279	2274
360	1282	2270
361	1286	2266
362	1289	2262
363	1292	2259
364	1296	2254
365	1299	2250
366	1302	2246
367	1306	2243
368	1309	2238
369	1312	2234
370	1316	2232
371	1320	2228
372	1323	2224
373	1326	2220
374	1329	2216
375	1333	2213
376	1336	2208
377	1340	2205
378	1343	2201
379	1346	2197
380	1350	2193
381	1353	2190
382	1356	2186
383	1360	2183
384	1363	2178
385	1367	2175
386	1370	2170
387	1374	2167
388	1377	2162
389	1380	2159
390	1384	2156
391	1388	2152
392	1391	2148
393	1394	2144
394	1397	2140
395	1401	2136
396	1404	2132
397	1407	2129
398	1411	2125
399	1414	2121
400	1417	2117
401	1420	2113
402	1424	2110
403	1427	2106
404	1432	2103
405	1435	2100
406	1439	2097
407	1442	2093
408	1446	2089
409	1449	2085
410	1452	2081
411	1455	2077
412	1459	2074
413	1462	2070
414	1466	2066
415	1469	2062
416	1473	2059
417	1476	2055
418	1480	2052
419	1483	2048
420	1486	2044
421	1489	2040
422	1492	2036
423	1496	2032
424	1499	2028
425	1502	2025
426	1506	2021
427	1509	2017
428	1512	2013
429	1516	2010
430	1519	2006
431	1523	2002
432	1526	1998
433	1530	1995
434	1533	1991
435	1536	1987
436	1539	1983
437	1542	1979
438	1545	1975
439	1550	1973
440	1553	1968
441	1557	1965
442	1560	1961
443	1563	1958
444	1567	1954
445	1570	1950
446	1573	1946
447	1576	1943
448	1580	1939
449	1584	1936
450	1587	1932
451	1591	1930
452	1597	1928
453	1604	1929
454	1608	1926
455	1613	1924
456	1617	1922
457	1622	1919
458	1627	1918
459	1634	1919
460	1639	1916
461	1642	1913
462	1646	1909
463	1651	1908
464	1657	1906
465	1660	1902
466	1664	1899
467	1668	1896
468	1671	1892
469	1675	1889
470	1678	1885
471	1682	1881
472	1685	1877
473	1688	1874
474	1691	1869
475	1695	1866
476	1698	1861
477	1702	1858
478	1705	1854
479	1709	1851
480	1712	1847
481	1715	1843
482	1718	1839
483	1722	1836
484	1725	1832
485	1729	1828
486	1731	1824
487	1735	1821
488	1738	1817
489	1742	1813
490	1745	1809
491	1749	1806
492	1753	1802
493	1756	1799
494	1759	1795
495	1763	1791
496	1766	1787
497	1769	1783
498	1773	1780
499	1776	1776
500	1780	1773
501	1783	1769
502	1787	1766
503	1790	1762
504	1794	1759
505	1797	1755
506	1801	1751
507	1804	1747
508	1808	1744
509	1811	1740
510	1814	1736
511	1817	1732
512	1821	1729
513	1824	1725
514	1828	1721
515	1831	1717
516	1835	1714
517	1838	1710
518	1841	1706
519	1844	1702
520	1848	1699
521	1851	1695
522	1855	1691
523	1858	1688
524	1861	1684
525	1864	1680
526	1868	1676
527	1872	1673
528	1875	1669
529	1879	1666
530	1882	1662
531	1886	1659
532	1889	1655
533	1893	1652
534	1896	1648
535	1900	1644
536	1903	1640
537	1907	1638
538	1910	1634
539	1914	1630
540	1918	1627
541	1921	1623
542	1924	1619
543	1927	1616
544	1931	1612
545	1934	1608
546	1937	1604
547	1940	1600
548	1944	1597
549	1948	1594
550	1952	1591
551	1955	1587
552	1959	1583
553	1962	1579
554	1966	1576
555	1969	1573
556	1973	1569
557	1976	1565
558	1980	1562
559	1983	1558
560	1987	1555
561	1990	1551
562	1994	1547
563	1997	1544
564	2000	1540
565	2004	1537
566	2007	1533
567	2011	1529
568	2014	1526
569	2018	1522
570	2021	1518
571	2025	1515
572	2028	1511
573	2032	1508
574	2035	1504
575	2038	1500
576	2041	1496
577	2044	1492
578	2047	1489
579	2051	1485
580	2054	1481
581	2057	1478
582	2061	1474
583	2066	1471
584	2070	1468
585	2073	1464
586	2076	1461
587	2079	1457
588	2083	1453
589	2086	1449
590	2090	1446
591	2093	1442
592	2096	1438
593	2099	1435
594	2104	1432
595	2107	1428
596	2110	1424
597	2114	1421
598	2118	1418
599	2121	1414
600	2124	1410
601	2127	1406
602	2131	1403
603	2134	1399
604	2137	1395
605	2140	1391
606	2144	1388
607	2148	1385
608	2151	1381
609	2155	1378
610	2159	1374
611	2163	1371
612	2166	1367
613	2170	1364
614	2174	1360
615	2177	1357
616	2180	1353
617	2184	1350
618	2187	1346
619	2191	1343
620	2195	1339
621	2198	1335
622	2201	1332
623	2204	1328
624	2208	1325
625	2212	1321
626	2215	1318
627	2218	1314
628	2223	1311
629	2226	1307
630	2230	1304
631	2233	1300
632	2236	1296
633	2240	1293
634	2243	1289
635	2246	1285
636	2249	1282
637	2252	1278
638	2256	1274
639	2261	1271
640	2265	1268
641	2268	1265
642	2271	1261
643	2275	1257
644	2278	1253
645	2281	1250
646	2285	1246
647	2288	1243
648	2291	1239
649	2295	1235
650	2298	1231
651	2301	1228
652	2304	1224
653	2308	1221
654	2311	1217
655	2315	1214
656	2318	1210
657	2322	1206
658	2325	1203
659	2328	1199
660	2331	1195
661	2335	1192
662	2338	1188
663	2342	1185
664	2345	1181
665	2348	1177
666	2352	1174
667	2355	1170
668	2358	1166
669	2361	1163
670	2365	1159
671	2368	1156
672	2372	1152
673	2375	1148
674	2379	1145
675	2383	1142
676	2386	1138
677	2389	1135
678	2393	1131
679	2396	1127
680	2400	1124
681	2403	1120
682	2406	1117
683	2410	1113
684	2413	1110
685	2417	1106
686	2420	1102
687	2423	1099
688	2427	1095
689	2431	1092
690	2434	1088
691	2438	1085
692	2441	1081
693	2444	1078
694	2447	1074
695	2451	1070
696	2454	1067
697	2458	1063
698	2461	1059
699	2465	1056
700	2468	1052
701	2472	1049
702	2475	1045
703	2478	1042
704	2481	1038
705	2484	1034
706	2487	1031
707	2491	1027
708	2494	1023
709	2498	1020
710	2502	1017
711	2505	1013
712	2509	1010
713	2512	1006
714	2515	1002
715	2519	999
716	2522	995
717	2525	991
718	2529	988
719	2532	984
720	2536	981
721	2539	977
722	2543	974
723	2546	970
724	2550	967
725	2553	963
726	2556	960
727	2559	956
728	2563	953
729	2567	949
730	2570	945
731	2573	942
732	2577	939
733	2581	935
734	2584	931
735	2588	928
736	2591	924
737	2595	921
738	2598	917
739	2601	914
740	2604	910
741	2607	906
742	2611	903
743	2614	899
744	2619	896
745	2623	893
746	2626	889
747	2629	886
748	2633	882
749	2636	878
750	2639	875
751	2643	871
752	2647	868
753	2650	864
754	2654	861
755	2657	857
756	2661	854
757	2664	850
758	2667	847
759	2671	843
760	2674	840
761	2677	836
762	2681	832
763	2684	829
764	2688	825
765	2691	822
766	2695	818
767	2698	815
768	2702	811
769	2705	808
770	2709	804
771	2712	801
772	2715	797
773	2718	793
774	2722	790
775	2725	786
776	2728	783
777	2732	779
778	2736	776
779	2740	772
780	2743	769
781	2747	765
782	2750	762
783	2754	758
784	2757	755
785	2761	751
786	2764	748
787	2768	744
788	2771	741
789	2775	737
790	2779	734
791	2782	730
792	2786	727
793	2789	723
794	2792	720
795	2795	716
796	2799	712
797	2802	709
798	2805	705
799	2808	702
800	2813	698
801	2816	695
802	2820	691
803	2823	688
804	2827	684
805	2830	681
806	2833	677
807	2836	674
808	2839	670
809	2843	666
810	2846	663
811	2849	659
812	2854	656
813	2858	653
814	2861	649
815	2864	645
816	2868	642
817	2871	638
818	2875	635
819	2878	631
820	2881	628
821	2885	624
822	2889	621
823	2894	618
824	2898	614
825	2901	611
826	2904	607
827	2907	604
828	2911	600
829	2914	596
830	2918	593
831	2921	589
832	2924	586
833	2927	582
834	2931	579
835	2934	575
836	2938	572
837	2941	568
838	2944	565
839	2947	561
840	2951	557
841	2954	554
842	2958	551
843	2962	547
844	2965	543
845	2968	540
846	2971	536
847	2975	533
848	2978	529
849	2982	526
850	2985	522
851	2988	519
852	2991	515
853	2994	511
854	2997	508
855	3000	504
856	3004	501
857	3007	497
858	3012	494
859	3016	490
860	3019	487
861	3023	484
862	3026	480
863	3029	476
864	3033	473
865	3036	469
866	3039	466
867	3043	462
868	3046	459
869	3049	455
870	3052	452
871	3056	448
872	3059	445
873	3063	441
874	3066	438
875	3070	434
876	3072	430
877	3076	427
878	3079	423
879	3083	420
880	3086	416
881	3091	413
882	3094	409
883	3097	406
884	3100	402
885	3104	399
886	3107	395
887	3110	392
888	3113	388
889	3116	385
890	3120	381
891	3123	378
892	3126	374
893	3137	372
894	3141	368
895	3144	364
896	3147	361
897	3150	357
898	3154	354
899	3157	350
900	3161	347
901	3164	343
902	3168	340
903	3172	336
904	3176	333
905	3180	330
906	3183	326
907	3187	322
908	3190	319
909	3194	315
910	3196	312
911	3200	308
912	3203	305
913	3207	301
914	3210	298
915	3214	294
916	3217	291
917	3220	287
918	3223	284
919	3227	280
920	3230	277
921	3234	273
922	3237	270
923	3241	266
924	3244	263
925	3247	259
926	3250	255
927	3254	252
928	3257	248
929	3261	245
930	3264	241
931	3267	238
932	3270	234
933	3274	231
934	3277	227
935	3281	224
936	3284	220
937	3289	217
938	3293	213
939	3296	210
940	3299	206
941	3302	203
942	3306	199
943	3309	196
944	3313	192
945	3316	189
946	3319	185
947	3322	182
948	3327	178
949	3330	175
950	3333	171
951	3336	168
952	3340	164
953	3343	161
954	3347	157
955	3350	154
956	3354	150
957	3358	147
958	3361	143
959	3364	140
960	3368	136
961	3372	133
962	3375	129
963	3379	126
964	3382	122
965	3386	119
966	3389	115
967	3393	112
968	3397	108
969	3401	105
970	3405	101
971	3408	98
972	3412	94
973	3415	91
974	3419	87
975	3422	84
976	3426	80
977	3429	77
978	3433	73
979	3436	70
980	3439	66
981	3443	63
982	3447	59
983	3450	56
984	3454	52
985	3457	49
986	3460	45
987	3464	42
988	3467	38
989	3471	35
990	3474	31
991	3478	28
992	3481	24
993	3486	21
994	3489	17
995	3493	14
996	3497	10
997	3500	7
998	3504	3
999	3507	0
